geneNID,geneId,geneName,geneDescription,pLI,DSI,DPI
526,716,C1S,complement C1s,0.00067654,0.705,0.462
527,717,C2,complement C2,1.3494e-16,0.617,0.692
528,718,C3,complement C3,0.90421,0.445,0.885
529,719,C3AR1,complement C3a receptor 1,3.3053e-09,0.601,0.731
530,720,C4A,complement C4A (Rodgers blood group),1.5416e-11,0.563,0.769
531,721,C4B,complement C4B (Chido blood group),0.83464,0.603,0.808
535,727,C5,complement C5,8.079e-24,0.55,0.731
536,728,C5AR1,complement C5a receptor 1,0.40249,0.513,0.808
539,731,C8A,complement C8 alpha chain,6.5536e-16,0.821,0.192
540,732,C8B,complement C8 beta chain,2.3057e-19,0.76,0.269
543,735,C9,complement C9,1.6323e-24,0.619,0.692
548,745,MYRF,myelin regulatory factor,1,0.584,0.731
549,746,TMEM258,transmembrane protein 258,0.0018504,0.644,0.654
554,754,PTTG1IP,PTTG1 interacting protein,0.0049827,0.678,0.346
555,755,CFAP410,cilia and flagella associated protein 410,3.291e-07,0.633,0.615
558,759,CA1,carbonic anhydrase 1,4.7481e-11,0.623,0.769
559,760,CA2,carbonic anhydrase 2,1.6946e-06,0.506,0.808
560,761,CA3,carbonic anhydrase 3,0.0017251,0.682,0.5
562,763,CA5A,carbonic anhydrase 5A,7.9051e-05,0.686,0.5
565,767,CA8,carbonic anhydrase 8,0.0082516,0.595,0.654
566,768,CA9,carbonic anhydrase 9,1.3027e-09,0.483,0.731
568,771,CA12,carbonic anhydrase 12,1.2849e-11,0.592,0.731
570,773,CACNA1A,calcium voltage-gated channel subunit alpha1 A,1,0.489,0.769
571,774,CACNA1B,calcium voltage-gated channel subunit alpha1 B,0.99998,0.65,0.577
572,775,CACNA1C,calcium voltage-gated channel subunit alpha1 C,1,0.51,0.846
573,776,CACNA1D,calcium voltage-gated channel subunit alpha1 D,1,0.582,0.577
574,777,CACNA1E,calcium voltage-gated channel subunit alpha1 E,1,0.65,0.577
575,778,CACNA1F,calcium voltage-gated channel subunit alpha1 F,1.2337e-05,0.595,0.5
576,779,CACNA1S,calcium voltage-gated channel subunit alpha1 S,6.2588e-12,0.595,0.692
577,780,DDR1,discoidin domain receptor tyrosine kinase 1,4.6331e-06,0.497,0.808
578,781,CACNA2D1,calcium voltage-gated channel auxiliary subunit alpha2delta 1,0.99989,0.641,0.5
580,783,CACNB2,calcium voltage-gated channel auxiliary subunit beta 2,2.6719e-06,0.659,0.538
581,784,CACNB3,calcium voltage-gated channel auxiliary subunit beta 3,0.00028915,0.821,0.346
582,785,CACNB4,calcium voltage-gated channel auxiliary subunit beta 4,0.030679,0.653,0.231
584,788,SLC25A20,solute carrier family 25 member 20,1.1972e-07,0.563,0.769
585,790,CAD,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",0.99993,0.482,0.846
586,793,CALB1,calbindin 1,0.24308,0.606,0.615
587,794,CALB2,calbindin 2,4.5423e-07,0.545,0.692
589,796,CALCA,calcitonin related polypeptide alpha,0.015562,0.416,0.923
591,799,CALCR,calcitonin receptor,3.1176e-09,0.464,0.846
592,800,CALD1,caldesmon 1,0.99879,0.578,0.692
593,801,CALM1,calmodulin 1,0.94473,0.472,0.808
594,805,CALM2,calmodulin 2,0.92086,0.472,0.808
597,811,CALR,calreticulin,0.89133,0.413,0.923
598,813,CALU,calumenin,0.014005,0.7,0.385
599,814,CAMK4,calcium/calmodulin dependent protein kinase IV,0.50957,0.621,0.654
600,815,CAMK2A,calcium/calmodulin dependent protein kinase II alpha,0.99845,0.612,0.538
601,816,CAMK2B,calcium/calmodulin dependent protein kinase II beta,0.73914,0.626,0.538
